position,pantheraCoverage,pantheraIdentity,alpineCoverage,alpineIdentity,nineSeqCoverage,nineSeqIdentity,product,geneFamily,geneLength
324,5,0.67,0,1,5,0.67,other,other,
325,5,1,0,1,5,1,other,other,
326,5,1,0,1,5,1,other,other,
327,5,1,0,1,5,1,other,other,
328,5,0.47,0,1,5,0.47,other,other,
329,5,1,0,1,5,1,other,other,
330,5,1,0,1,5,1,other,other,
331,5,1,0,1,5,1,other,other,
332,5,1,0,1,5,1,other,other,
333,5,1,0,1,5,1,other,other,
334,5,1,0,1,5,1,other,other,
335,5,1,0,1,5,1,other,other,
336,5,1,0,1,5,1,other,other,
337,5,1,0,1,5,1,other,other,
338,5,1,0,1,5,1,other,other,
339,5,1,0,1,5,1,other,other,
340,5,1,0,1,5,1,other,other,
341,5,1,0,1,5,1,other,other,
342,5,0.4,0,1,5,0.4,other,other,
343,5,1,0,1,5,1,other,other,
344,5,1,0,1,5,1,other,other,
345,5,0.67,0,1,5,0.67,other,other,
346,5,1,0,1,5,1,other,other,
347,5,1,0,1,5,1,other,other,
348,5,1,0,1,5,1,other,other,
349,5,1,0,1,5,1,other,other,
350,5,0.67,0,1,5,0.67,other,other,
351,5,0.67,0,1,5,0.67,other,other,
352,5,0.67,0,1,5,0.67,other,other,
353,5,0.67,0,1,5,0.67,other,other,
354,5,1,0,1,5,1,other,other,
355,5,1,0,1,5,1,other,other,
356,5,1,0,1,5,1,other,other,
357,5,1,0,1,5,1,other,other,
358,5,1,0,1,5,1,other,other,
359,5,0.67,0,1,5,0.67,other,other,
360,5,0.67,0,1,5,0.67,other,other,
361,5,0.67,0,1,5,0.67,other,other,
362,5,0.67,0,1,5,0.67,other,other,
363,5,1,0,1,5,1,other,other,
364,5,1,0,1,5,1,other,other,
365,5,1,0,1,5,1,other,other,
366,5,1,0,1,5,1,other,other,
367,5,1,0,1,5,1,other,other,
368,5,0.47,0,1,5,0.47,other,other,
369,5,1,0,1,5,1,other,other,
370,5,1,0,1,5,1,other,other,
371,5,1,0,1,5,1,other,other,
372,5,1,0,1,5,1,other,other,
373,5,1,0,1,5,1,other,other,
374,5,1,0,1,5,1,other,other,
375,5,1,0,1,5,1,other,other,
376,5,0.67,0,1,5,0.67,other,other,
377,5,1,0,1,5,1,other,other,
378,5,1,0,1,5,1,other,other,
379,5,1,0,1,5,1,other,other,
380,5,1,0,1,5,1,other,other,
381,5,0.67,0,1,5,0.67,other,other,
382,5,1,0,1,5,1,other,other,
383,5,0.67,0,1,5,0.67,other,other,
384,5,1,0,1,5,1,other,other,
385,5,1,0,1,5,1,other,other,
386,5,0.67,0,1,5,0.67,other,other,
387,5,0,0,1,5,0,other,other,
388,5,0,0,1,5,0,other,other,
389,5,0,0,1,5,0,other,other,
390,5,0,0,1,5,0,other,other,
391,5,1,0,1,5,1,other,other,
392,5,1,0,1,5,1,other,other,
393,5,0.67,0,1,5,0.67,other,other,
394,5,0.67,0,1,5,0.67,other,other,
395,5,0.67,0,1,5,0.67,other,other,
396,5,0.67,0,1,5,0.67,other,other,
397,5,0.67,0,1,5,0.67,other,other,
398,5,0.67,0,1,5,0.67,other,other,
399,5,0.67,0,1,5,0.67,other,other,
400,5,0.67,0,1,5,0.67,other,other,
401,5,0.67,0,1,5,0.67,other,other,
402,5,0.67,0,1,5,0.67,other,other,
403,5,0.67,0,1,5,0.67,other,other,
404,5,0.4,0,1,5,0.4,other,other,
405,5,0.67,0,1,5,0.67,other,other,
406,5,0.67,0,1,5,0.67,other,other,
407,5,0.67,0,1,5,0.67,other,other,
408,5,0.67,0,1,5,0.67,other,other,
409,5,0.67,0,1,5,0.67,other,other,
410,5,0.67,0,1,5,0.67,other,other,
411,5,0.67,0,1,5,0.67,other,other,
412,5,0.27,0,1,5,0.27,other,other,
413,5,0.67,0,1,5,0.67,other,other,
414,5,0.67,0,1,5,0.67,other,other,
415,5,0.67,0,1,5,0.67,other,other,
416,5,0.67,0,1,5,0.67,other,other,
417,5,0.67,0,1,5,0.67,other,other,
418,5,0.67,0,1,5,0.67,other,other,
419,5,0.67,0,1,5,0.67,other,other,
420,5,0.4,0,1,5,0.4,other,other,
421,5,0.67,0,1,5,0.67,other,other,
422,5,0.67,0,1,5,0.67,other,other,
423,5,0.67,0,1,5,0.67,other,other,
424,5,0.67,0,1,5,0.67,other,other,
425,5,0.67,0,1,5,0.67,other,other,
426,5,0.67,0,1,5,0.67,other,other,
427,5,0.67,0,1,5,0.67,other,other,
428,5,0.67,0,1,5,0.67,other,other,
429,5,0.67,0,1,5,0.67,other,other,
430,5,0.67,0,1,5,0.67,other,other,
431,5,0.67,0,1,5,0.67,other,other,
432,5,0.67,0,1,5,0.67,other,other,
433,5,0.67,0,1,5,0.67,other,other,
434,5,0.67,0,1,5,0.67,other,other,
435,5,0.67,0,1,5,0.67,other,other,
436,5,0.67,0,1,5,0.67,other,other,
437,5,0.67,0,1,5,0.67,other,other,
438,5,0.67,0,1,5,0.67,other,other,
439,5,0.67,0,1,5,0.67,other,other,
440,5,0.67,0,1,5,0.67,other,other,
441,5,0.67,0,1,5,0.67,other,other,
442,5,0.4,0,1,5,0.4,other,other,
443,5,0.67,0,1,5,0.67,other,other,
444,5,0.67,0,1,5,0.67,other,other,
445,5,0.67,0,1,5,0.67,other,other,
446,5,0.67,0,1,5,0.67,other,other,
447,5,0.67,0,1,5,0.67,other,other,
448,5,0.67,0,1,5,0.67,other,other,
449,5,0.67,0,1,5,0.67,other,other,
450,5,0.67,0,1,5,0.67,other,other,
451,5,0.67,0,1,5,0.67,other,other,
452,5,0.67,0,1,5,0.67,other,other,
453,5,0.67,0,1,5,0.67,other,other,
454,5,0.67,0,1,5,0.67,other,other,
455,5,0.67,0,1,5,0.67,other,other,
456,5,1,0,1,5,1,other,other,
457,5,1,0,1,5,1,other,other,
458,5,1,0,1,5,1,other,other,
459,5,1,0,1,5,1,other,other,
460,5,0.67,0,1,5,0.67,other,other,
461,5,1,0,1,5,1,other,other,
462,5,1,0,1,5,1,other,other,
463,5,1,0,1,5,1,other,other,
464,5,1,0,1,5,1,other,other,
465,5,1,0,1,5,1,other,other,
466,5,1,0,1,5,1,other,other,
467,5,1,0,1,5,1,other,other,
468,5,1,0,1,5,1,other,other,
469,5,1,0,1,5,1,other,other,
470,5,1,0,1,5,1,other,other,
471,5,1,0,1,5,1,other,other,
472,5,0.47,0,1,5,0.47,other,other,
473,5,1,0,1,5,1,other,other,
474,5,1,0,1,5,1,other,other,
475,5,1,0,1,5,1,other,other,
476,5,1,0,1,5,1,other,other,
477,5,1,0,1,5,1,other,other,
478,5,1,0,1,5,1,other,other,
479,5,1,0,1,5,1,other,other,
480,5,1,0,1,5,1,other,other,
481,5,1,0,1,5,1,other,other,
482,5,1,0,1,5,1,other,other,
483,5,1,0,1,5,1,other,other,
484,5,0.47,0,1,5,0.47,other,other,
485,5,1,0,1,5,1,other,other,
486,5,1,0,1,5,1,other,other,
487,5,1,0,1,5,1,other,other,
488,5,1,0,1,5,1,other,other,
489,5,1,0,1,5,1,other,other,
490,5,1,0,1,5,1,other,other,
491,5,1,0,1,5,1,other,other,
492,5,1,0,1,5,1,other,other,
493,5,1,0,1,5,1,other,other,
494,5,1,0,1,5,1,other,other,
495,5,1,0,1,5,1,other,other,
496,5,1,0,1,5,1,other,other,
497,5,1,0,1,5,1,other,other,
498,5,1,0,1,5,1,other,other,
499,5,1,0,1,5,1,other,other,
500,5,1,0,1,5,1,other,other,
501,5,1,0,1,5,1,other,other,
502,5,1,0,1,5,1,other,other,
503,5,1,0,1,5,1,other,other,
504,5,1,0,1,5,1,other,other,
505,5,1,0,1,5,1,other,other,
506,5,1,0,1,5,1,other,other,
507,5,1,0,1,5,1,other,other,
508,5,1,0,1,5,1,other,other,
509,5,0.47,0,1,5,0.47,other,other,
510,5,1,0,1,5,1,other,other,
511,5,0.67,0,1,5,0.67,other,other,
512,5,1,0,1,5,1,other,other,
513,5,1,0,1,5,1,other,other,
514,5,0.67,0,1,5,0.67,other,other,
515,5,1,0,1,5,1,other,other,
516,5,1,0,1,5,1,other,other,
517,5,0.67,0,1,5,0.67,other,other,
518,5,1,0,1,5,1,other,other,
519,5,1,0,1,5,1,other,other,
520,5,1,0,1,5,1,other,other,
521,5,0.47,0,1,5,0.47,other,other,
522,5,1,0,1,5,1,other,other,
523,5,0.47,0,1,5,0.47,other,other,
524,5,1,0,1,5,1,other,other,
525,5,1,0,1,5,1,other,other,
526,5,1,0,1,5,1,other,other,
527,5,1,0,1,5,1,other,other,
528,5,1,0,1,5,1,other,other,
529,5,1,0,1,5,1,other,other,
530,5,1,0,1,5,1,other,other,
531,5,0.4,0,1,5,0.4,other,other,
532,5,1,0,1,5,1,other,other,
533,5,1,0,1,5,1,other,other,
534,5,1,0,1,5,1,other,other,
535,5,1,0,1,5,1,other,other,
536,5,1,0,1,5,1,other,other,
537,5,1,0,1,5,1,other,other,
538,5,1,0,1,5,1,other,other,
539,5,1,0,1,5,1,other,other,
540,5,1,0,1,5,1,other,other,
541,5,1,0,1,5,1,other,other,
542,5,1,0,1,5,1,other,other,
543,5,1,0,1,5,1,other,other,
544,5,1,0,1,5,1,other,other,
545,5,1,0,1,5,1,other,other,
546,5,1,0,1,5,1,other,other,
547,5,1,0,1,5,1,other,other,
548,5,1,0,1,5,1,other,other,
549,5,1,0,1,5,1,other,other,
550,5,1,0,1,5,1,other,other,
551,5,1,0,1,5,1,other,other,
552,5,1,0,1,5,1,other,other,
553,5,1,0,1,5,1,other,other,
554,5,1,0,1,5,1,other,other,
555,5,1,0,1,5,1,other,other,
556,5,1,0,1,5,1,other,other,
557,5,1,0,1,5,1,other,other,
558,5,1,0,1,5,1,other,other,
559,5,1,0,1,5,1,other,other,
560,5,1,0,1,5,1,other,other,
561,5,1,0,1,5,1,other,other,
562,5,1,0,1,5,1,other,other,
563,5,1,0,1,5,1,other,other,
564,5,1,0,1,5,1,other,other,
565,5,1,0,1,5,1,other,other,
566,5,1,0,1,5,1,other,other,
567,5,1,0,1,5,1,other,other,
568,5,1,0,1,5,1,other,other,
569,5,1,0,1,5,1,other,other,
570,5,1,0,1,5,1,other,other,
571,5,1,0,1,5,1,other,other,
572,5,1,0,1,5,1,other,other,
573,5,1,0,1,5,1,other,other,
574,5,1,0,1,5,1,other,other,
575,5,0.47,0,1,5,0.47,other,other,
576,5,0.67,0,1,5,0.67,other,other,
577,5,0.67,0,1,5,0.67,other,other,
578,5,0.47,0,1,5,0.47,other,other,
579,5,1,0,1,5,1,other,other,
580,5,1,0,1,5,1,other,other,
581,5,0.67,0,1,5,0.67,other,other,
582,5,0.47,0,1,5,0.47,other,other,
583,5,1,0,1,5,1,other,other,
584,5,0.67,0,1,5,0.67,other,other,
585,5,0.67,0,1,5,0.67,other,other,
586,5,1,0,1,5,1,other,other,
587,5,1,0,1,5,1,other,other,
588,5,0.67,0,1,5,0.67,other,other,
589,5,1,0,1,5,1,other,other,
590,5,1,0,1,5,1,other,other,
591,5,1,0,1,5,1,other,other,
592,5,1,0,1,5,1,other,other,
593,5,1,0,1,5,1,other,other,
594,5,0.21,0,1,5,0.21,other,other,
595,5,1,0,1,5,1,other,other,
596,5,1,0,1,5,1,other,other,
597,5,1,0,1,5,1,other,other,
598,5,1,0,1,5,1,other,other,
599,5,1,0,1,5,1,other,other,
600,5,1,0,1,5,1,other,other,
601,5,1,0,1,5,1,other,other,
602,5,1,0,1,5,1,other,other,
603,5,1,0,1,5,1,other,other,
604,5,1,0,1,5,1,other,other,
605,5,0.67,0,1,5,0.67,other,other,
606,5,1,0,1,5,1,other,other,
607,5,1,0,1,5,1,other,other,
608,5,1,0,1,5,1,other,other,
609,5,1,0,1,5,1,other,other,
610,5,1,0,1,5,1,other,other,
611,5,0.47,0,1,5,0.47,other,other,
612,5,1,0,1,5,1,other,other,
613,5,1,0,1,5,1,other,other,
614,5,1,0,1,5,1,other,other,
615,5,1,0,1,5,1,other,other,
616,5,1,0,1,5,1,other,other,
617,5,1,0,1,5,1,other,other,
618,5,1,0,1,5,1,other,other,
619,5,1,0,1,5,1,other,other,
620,5,1,0,1,5,1,other,other,
621,5,0.67,0,1,5,0.67,other,other,
622,5,1,0,1,5,1,other,other,
623,5,1,0,1,5,1,other,other,
624,5,0.4,0,1,5,0.4,other,other,
625,5,1,0,1,5,1,other,other,
626,5,1,0,1,5,1,other,other,
627,5,1,0,1,5,1,other,other,
628,5,0.67,0,1,5,0.67,other,other,
629,5,1,0,1,5,1,other,other,
630,5,0.67,0,1,5,0.67,other,other,
631,5,1,0,1,5,1,other,other,
632,5,1,0,1,5,1,other,other,
633,5,1,0,1,5,1,other,other,
634,5,1,0,1,5,1,other,other,
635,5,1,0,1,5,1,other,other,
636,5,0.67,0,1,5,0.67,other,other,
637,5,1,0,1,5,1,other,other,
638,5,0.67,0,1,5,0.67,other,other,
639,5,0.67,0,1,5,0.67,other,other,
640,5,0.67,0,1,5,0.67,other,other,
641,5,1,0,1,5,1,other,other,
642,5,1,0,1,5,1,other,other,
643,5,1,0,1,5,1,other,other,
644,5,1,0,1,5,1,other,other,
645,5,1,0,1,5,1,other,other,
646,5,1,0,1,5,1,other,other,
647,5,1,0,1,5,1,other,other,
648,5,1,0,1,5,1,other,other,
649,5,1,0,1,5,1,other,other,
650,5,0.67,0,1,5,0.67,other,other,
651,5,1,0,1,5,1,other,other,
652,5,1,0,1,5,1,other,other,
653,5,1,0,1,5,1,other,other,
654,5,1,0,1,5,1,other,other,
655,5,1,0,1,5,1,other,other,
656,5,0.27,0,1,5,0.27,other,other,
657,5,1,0,1,5,1,other,other,
658,5,1,0,1,5,1,other,other,
659,5,1,0,1,5,1,other,other,
660,5,1,0,1,5,1,other,other,
661,5,1,0,1,5,1,other,other,
662,5,1,0,1,5,1,other,other,
663,5,1,0,1,5,1,other,other,
664,5,1,0,1,5,1,other,other,
665,5,1,0,1,5,1,other,other,
666,5,0.43,0,1,5,0.43,other,other,
667,5,1,0,1,5,1,other,other,
668,5,1,0,1,5,1,other,other,
669,5,1,0,1,5,1,other,other,
670,5,1,0,1,5,1,other,other,
671,5,1,0,1,5,1,other,other,
672,5,1,0,1,5,1,other,other,
673,5,1,0,1,5,1,other,other,
674,5,1,0,1,5,1,other,other,
675,5,1,0,1,5,1,other,other,
676,5,1,0,1,5,1,other,other,
677,5,1,0,1,5,1,other,other,
678,5,1,0,1,5,1,other,other,
679,5,1,0,1,5,1,other,other,
680,5,0.27,0,1,5,0.27,other,other,
681,5,1,0,1,5,1,other,other,
682,5,1,0,1,5,1,other,other,
683,5,1,0,1,5,1,other,other,
684,5,1,0,1,5,1,other,other,
685,5,1,0,1,5,1,other,other,
686,5,0.67,0,1,5,0.67,other,other,
687,5,1,0,1,5,1,other,other,
688,5,1,0,1,5,1,other,other,
689,5,1,0,1,5,1,other,other,
690,5,1,0,1,5,1,other,other,
691,5,1,0,1,5,1,other,other,
692,5,1,0,1,5,1,other,other,
693,5,1,0,1,5,1,other,other,
694,5,1,0,1,5,1,other,other,
695,5,1,0,1,5,1,other,other,
696,5,0.4,0,1,5,0.4,other,other,
697,5,1,0,1,5,1,other,other,
698,5,1,0,1,5,1,other,other,
